portal,portal_property_id,url,canonical_url,title,price,currency,expenses,expenses_currency,address,neighborhood,publisher_name,covered_area,semi_covered_area,total_area,rooms,bedrooms,bathrooms,age,parking_count,condition,orientation,floor,amenities,publication_date,description,detail_fetched,raw_data
demo-a,demo-00158,https://demo-a.example/aviso/demo-00158,https://demo-a.example/aviso/demo-00158,Departamento 4 ambientes en Palermo,469000,USD,272000,ARS,Nicaragua 5534,"Palermo, Capital Federal",Mirador Propiedades,145.0,3,148.0,,,,,,,,,,2026-07-19,"Nicaragua al 5500, Palermo. Departamento de 4 ambientes, 3 dormitorios y 2 baños, con 145 m² cubiertos más un balcón terraza de 3 m². El edificio tiene 70 años de antigüedad pero la unidad está en muy buen estado, lista para habitar; cuenta con ascensor y una distribución clásica que aprovecha cada metro cuadrado. Sin cochera ni amenities, ideal para quienes buscan un piso amplio e iluminado en una zona con todos los servicios a la vuelta. Una oportunidad con la impronta del barrio porteño.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00159,https://demo-b.example/aviso/demo-00159,https://demo-b.example/aviso/demo-00159,Departamento 4 ambientes en Palermo,456000,USD,272000,ARS,Nicaragua 5500,"Palermo, Capital Federal",Inmobiliaria del Parque,139.3,3,142.3,,,,,,,,,,2026-07-15,"Departamento de 4 ambientes en pleno corazón de Palermo, sobre la calle Nicaragua al 5500. Estamos hablando de un piso 1 con 139 m² cubiertos más una terraza de 3 m² que suma unos metros al aire libre, ideal para despejarse sin salir de casa. La distribución es de 3 dormitorios y 2 baños, pensada para familias que buscan amplitud real, con espacios bien diferenciados y mucha onda en cada rincón.

La propiedad conserva el encanto clásico de los 70 años de antigüedad que tiene el edificio, con ambientes generosos y una energía que solo dan las construcciones de antes. Al no tener cochera ni amenities, el costo de expensas se mantiene acotado, lo que la convierte en una oportunidad interesante para quien valora la ubicación y el metro cuadrado por encima de los chiches. Ideal para reciclar a gusto o habitar tal cual, en una de las zonas más buscadas de la ciudad, rodeada de bares, plazas y buena conectividad.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": ""demo-00158""}"
demo-a,demo-00160,https://demo-a.example/aviso/demo-00160,https://demo-a.example/aviso/demo-00160,Departamento 3 ambientes en Palermo,317000,USD,430000,ARS,Gorriti 476,"Palermo, Capital Federal",Sur & Asociados,100.4,,100.4,,,,,,,,,"parrilla, solarium, seguridad 24 h, laundry, pileta",2026-07-03,"Departamento de 3 ambientes en pleno Palermo, sobre Gorriti al 400, una de las zonas más buscadas para vivir con todo a mano. Se trata de una unidad interna, luminosa y en buen estado general, pensada para quien busca comodidad sin perder la calidez de un hogar. El piso 6 le aporta una vista bien particular y una tranquilidad que se agradece en el medio de la ciudad.

La distribución es muy aprovechable: dos dormitorios bien dimensionados, un baño completo y un living comedor amplio, ideal para juntarse con amigos o descansar. La cocina es independiente y tiene buena onda. Son 100 m² cubiertos que se sienten mucho más porque no se pierde espacio en pasillos.

El edificio cuenta con seguridad 24 horas, así que te olvidás del resto. Además, tiene parrilla para los días de calor, solarium para tomar sol sin irte a ningún lado, y una pileta que en verano es un golazo. También tiene laundry, un golazo para no llenar el depto de cosas. No incluye cochera, pero en Palermo con el transporte y los servicios que hay, no la vas a extrañar. Ideal para pareja o para quien quiera estar bien ubicado y con amenities de primer nivel.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00161,https://demo-a.example/aviso/demo-00161,https://demo-a.example/aviso/demo-00161,Departamento 4 ambientes en Palermo,294000,USD,410000,ARS,"Thames 4404, Piso 1","Palermo, Capital Federal",Casa Nueva Negocios Inmobiliarios,112.4,5,117.4,4,3,2,45,0,Bueno,Contrafrente,1,"parrilla, sum, pileta, gimnasio, solarium",2026-07-31,"Departamento de 4 ambientes en pleno corazón de Palermo, sobre Thames al 4400, una de las zonas más lindas y con mejor movida de la Ciudad. Son 112 metros cuadrados cubiertos más un balcón terraza de 5 metros que suma ese aire libre tan buscado. Al contrafrente, se duerme en una tranquilidad que se agradece en esta zona, lejos del ruido de la avenida pero con todo lo que ofrece el barrio a la vuelta de la esquina.

Son tres dormitorios bien repartidos y dos baños, pensados para una familia o para quien labura desde casa y necesita espacio. El edificio tiene 45 años de antigüedad, así que hablamos de una construcción con buena presencia y metros que se sienten. El edificio cuenta con parrilla, sum, pileta, gimnasio y solarium para disfrutar sin moverte de tu casa. No incluye cochera, pero en Palermo te manejás igual con bondi, subte o incluso a pata para las compras del día a día. Una oportunidad para agendar y venir a conocer.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00162,https://demo-b.example/aviso/demo-00162,https://demo-b.example/aviso/demo-00162,Departamento 4 ambientes en Palermo,286000,USD,410000,ARS,"Thames 4400, Piso 1","Palermo, Capital Federal",Inmobiliaria del Parque,118.7,5,123.7,4,3,2,,0,Bueno,Contrafrente,1,"parrilla, sum, pileta, gimnasio, solarium",2026-08-09,"Departamento de 4 ambientes en Palermo, Thames al 4400, piso 1. Son 119 m² cubiertos con excelente distribución y un balcón terraza de 5 m² que suma un lindo espacio al aire libre. Al contrafrente, se disfruta de mucha tranquilidad y buena luminosidad durante todo el día. El inmueble tiene 3 dormitorios, 2 baños completos y se encuentra en buen estado general, listo para habitar o para ponerle el toque personal que más te guste. El edificio cuenta con parrilla, SUM, pileta, gimnasio y solarium, ideal para quienes buscan sumar confort sin moverse de casa. No incluye cochera, pero la ubicación en el corazón de Palermo te permite dejar el auto y moverte caminando a todos lados. Un departamento con buena relación entre espacios cerrados y abiertos, pensado para quien valora la vida de barrio con todas las comodidades.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": ""demo-00161""}"
demo-a,demo-00163,https://demo-a.example/aviso/demo-00163,https://demo-a.example/aviso/demo-00163,Departamento 3 ambientes en Palermo,300000,USD,,,"Malabia 1386, Piso 3","Palermo, Capital Federal",Sur & Asociados,74.8,3,77.8,3,2,1,0,0,A Estrenar,Interno,3,"solarium, laundry, gimnasio, sum, pileta",2026-06-28,"Departamento a estrenar en el corazón de Palermo, sobre Malabia al 1300. Se trata de una unidad interna en el piso 3, con una distribución muy bien pensada: living comedor amplio, cocina integrada, dos dormitorios y un baño completo. Son 75 m² cubiertos más un balcón terraza de 3 m² que suma luz y aire. El edificio es de categoría, con solarium, laundry, gimnasio, SUM y pileta, ideales para disfrutar sin moverte de tu casa. Al no tener cochera, la ubicación te salva de todo: estás a metros de los mejores bares y subte.

La obra está en pleno desarrollo y la entrega estimada es para el año que viene, así que es una oportunidad clara para comprar en pozo a un valor de lanzamiento. Las fotos que ves son del modelo, no del estado actual de la construcción, así que hacete una idea clara de lo que va a ser tu futuro hogar. Sin ascensor no te vas a preocupar: es un piso 3 con un acceso cómodo y pensado para que cada detalle cuente. Unidad interna con buena privacidad, ideal para parejas o como inversión. A estrenar, con esa combinación perfecta de barrio y comodidades.",true,"{""sintetico"": true, ""caso"": ""pozo"", ""duplicado_de"": null}"
demo-b,demo-00164,https://demo-b.example/aviso/demo-00164,https://demo-b.example/aviso/demo-00164,Departamento 4 ambientes en Palermo,372000,USD,288000,ARS,Nicaragua 504,"Palermo, Capital Federal",Estudio Lacroze,111.9,,111.9,4,3,2,40,0,Muy Bueno,Lateral,4,,2026-05-04,"Departamento de 4 ambientes en Nicaragua al 500, Palermo. Son 112 m² cubiertos con una distribución bien aprovechada: 3 dormitorios, 2 baños, living comedor amplio y cocina independiente. Está en muy buen estado, listo para habitar, con una orientación lateral que le da buena luz y ventilación. El edificio tiene 40 años de antigüedad y cuenta con ascensor, lo que suma comodidad en el día a día. Sin cochera ni amenities, ideal para quienes buscan un departamento clásico en una ubicación inmejorable, cerca de bares, restaurantes y todo el movimiento de Palermo.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00165,https://demo-a.example/aviso/demo-00165,https://demo-a.example/aviso/demo-00165,Departamento 2 ambientes en Belgrano,141000,USD,319000,ARS,Arcos 345,"Belgrano, Capital Federal",Inmobiliaria del Parque,49.3,,49.3,,,,,,,,,,2026-08-20,"Se vende departamento de dos ambientes en Belgrano, sobre Arcos al 300. Al contrafrente y en excelente estado, este inmueble ofrece 49 m² cubiertos distribuidos en un dormitorio, un baño y un living comedor. Es una opción ideal para quienes valoran la tranquilidad y la zona, ya que al contrafrente garantiza un menor ruido. Sin cochera y sin amenities, pensado para quienes buscan simpleza y comodidad. Aprovechá esta oportunidad en uno de los barrios más tradicionales de la Ciudad. Consultá por visitas y conocé este departamento en persona.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00166,https://demo-a.example/aviso/demo-00166,https://demo-a.example/aviso/demo-00166,Departamento 3 ambientes en Palermo,305000,USD,,,"Gorriti 3874, Piso 6","Palermo, Capital Federal",Casa Nueva Negocios Inmobiliarios,73.2,5,78.2,3,2,1,,0,Muy Bueno,,6,"laundry, pileta",2026-07-28,"Departamento de 3 ambientes en pleno Palermo, sobre la calle Gorriti al 3800, en una ubicación que te deja a dos pasos de todo. Piso 6, con 73 m² cubiertos y 5 m² de balcón terraza, ideal para quienes buscan luz y aire sin resignar cercanía.

El living comedor es amplio y se integra muy bien con la cocina, que está en muy buen estado y lista para habitar. Son dos dormitorios cómodos, con el baño completo bien resuelto. El balcón terraza suma ese plus para desayunar al sol o leer un libro al atardecer. El edificio cuenta con laundry y pileta, perfecto para despejarse sin moverte del barrio.

Está en muy buen estado, para entrar a vivir o para invertir en una zona que no para de crecer. Sin cochera, pero en Palermo no la vas a necesitar: subte, tren, bici y un montón de bares y restaurantes a la vuelta. Una oportunidad concreta para sumarte a uno de los barrios más buscados de Buenos Aires.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00167,https://demo-b.example/aviso/demo-00167,https://demo-b.example/aviso/demo-00167,Departamento 2 ambientes en Belgrano,124000,USD,,,"Zabala 4785, Piso 1","Belgrano, Capital Federal",Estudio Lacroze,51.5,3,54.5,2,1,1,50,0,Muy Bueno,,1,"seguridad 24 h, parrilla, pileta, solarium, sum",2026-05-18,"Departamento en Belgrano, Zabala al 4700, piso 1, con 52 m² cubiertos más 3 m² de balcón terraza. Es un dos ambientes con un dormitorio y un baño, en muy buen estado a pesar de sus 50 años de antigüedad. El edificio cuenta con seguridad 24 horas, parrilla, pileta, solarium y SUM. Sin cochera. Ideal para quienes buscan un piso bien ubicado, luminoso y con espacios comunes para disfrutar.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00168,https://demo-a.example/aviso/demo-00168,https://demo-a.example/aviso/demo-00168,Departamento 1 ambientes en Belgrano,85000,USD,295000,ARS,"Mendoza 5207, Piso 6","Belgrano, Capital Federal",Casa Nueva Negocios Inmobiliarios,30.9,,30.9,1,0,1,8,0,Muy Bueno,,6,"parrilla, pileta, solarium",2026-07-05,"Departamento de 1 ambiente en Belgrano, sobre Mendoza al 5200. Está en muy buen estado, ubicado en un piso 6 con ascensor, lo que le da una linda vista y mucha luz. Tiene 31 m² cubiertos, un baño completo, y cuenta con 8 años de antigüedad, pero se nota que estuvo bien cuidado. El edificio ofrece parrilla, pileta y solarium, ideales para disfrutar los días de calor o compartir con amigos. Sin cochera, pero la zona tiene buena conectividad y todos los servicios cerca. Una oportunidad para quienes buscan un departamento chico pero con amenities y en un barrio tradicional.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00169,https://demo-a.example/aviso/demo-00169,https://demo-a.example/aviso/demo-00169,Departamento 2 ambientes en Belgrano,229000,USD,,,"Conde 5363, Piso 10","Belgrano, Capital Federal",Estudio Lacroze,49.1,,49.1,2,1,1,,1,A Estrenar,Lateral,10,pileta,2026-07-28,"Departamento de 2 ambientes y 1 dormitorio en pleno Belgrano, sobre la calle Conde al 5300. Se trata de un emprendimiento en construcción con orientación lateral, ideal para quienes buscan luminosidad sin perder la privacidad. La unidad cuenta con 49 m² cubiertos, un baño completo y cochera propia, todo pensado para la comodidad diaria. El edificio tiene ascensor y ofrece pileta en el amenities, perfecta para los días de calor porteño sin moverte de tu casa.

Pensado para parejas o para quienes arrancan una nueva etapa, este dos ambientes suma la practicidad de un espacio bien distribuido y la seguridad de un barrio con todos los servicios a la vuelta. La entrega estimada es para el segundo semestre del año que viene, así que todavía estás a tiempo de proyectar. Las fotos que ves son del modelo de referencia, tal cual va a quedar el resultado final. Una oportunidad para sumarse a una zona con verde, subte y mucho movimiento cultural, a pasos de todo.",true,"{""sintetico"": true, ""caso"": ""pozo"", ""duplicado_de"": null}"
demo-a,demo-00170,https://demo-a.example/aviso/demo-00170,https://demo-a.example/aviso/demo-00170,Departamento 2 ambientes en Palermo,204000,USD,,,Darregueyra 2531,"Palermo, Capital Federal",Inmobiliaria del Parque,43.3,5,48.3,,,,,,,,,"sum, seguridad 24 h",2026-05-27,"Departamento a estrenar en Palermo, Darregueyra al 2500. Piso 10, al contrafrente, con 43 m² cubiertos más 5 m² de balcón terraza. Dos ambientes, un dormitorio y un baño completo. Sin ascensor, pero con seguridad las 24 horas y SUM de uso común. La unidad está en construcción: las fotos corresponden al modelo y la entrega estimada es para el segundo semestre de 2025. Ideal para quienes buscan un primer hogar o una inversión en una zona con excelente conectividad y servicios. A estrenar, con terminaciones de calidad y detalles pensados para el día a día. Sin cochera. Consultá por planes de financiación directa.",false,"{""sintetico"": true, ""caso"": ""pozo"", ""duplicado_de"": null}"
demo-a,demo-00172,https://demo-a.example/aviso/demo-00172,https://demo-a.example/aviso/demo-00172,Departamento 2 ambientes en Palermo,170000,USD,,,"Darregueyra 5502, Piso 2","Palermo, Capital Federal",Mirador Propiedades,41.0,3,44.0,2,1,1,,1,Bueno,,2,"solarium, seguridad 24 h, pileta, gimnasio, sum",2026-08-23,"Departamento de 2 ambientes en venta en Darregueyra al 5500, Palermo, pleno corazón de la ciudad. Se trata de una unidad de 41 m² cubiertos más 3 m² de balcón terraza, ubicada en piso 2, con un dormitorio, un baño completo y cochera incluida. El inmueble se entrega en buen estado general, listo para habitar o para poner en alquiler. El edificio cuenta con seguridad las 24 horas y ofrece amenities de primer nivel: pileta, gimnasio, solarium y salón de usos múltiples. Una excelente oportunidad para quienes buscan un departamento funcional con todos los servicios a mano, en uno de los barrios más buscados de la Capital.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00173,https://demo-b.example/aviso/demo-00173,https://demo-b.example/aviso/demo-00173,Departamento 4 ambientes en Belgrano,386000,USD,181000,ARS,"Arcos 331, Piso 3","Belgrano, Capital Federal",Mirador Propiedades,101.7,,101.7,4,3,2,,1,A Estrenar,,3,sum,2026-09-14,"Departamento de 4 ambientes en Belgrano, sobre la calle Arcos al 300. Cuenta con 3 dormitorios, 2 baños, y una superficie cubierta de 102 m². El living comedor es amplio y la cocina está separada, con posibilidad de integrar. Se ubica en el piso 3, y viene con una cochera incluida. El edificio dispone de SUM para eventos y reuniones, ideal",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00174,https://demo-a.example/aviso/demo-00174,https://demo-a.example/aviso/demo-00174,Departamento 4 ambientes en Belgrano,262000,USD,166000,ARS,Vuelta de Obligado 2031,"Belgrano, Capital Federal",Norte Propiedades,104.5,,104.5,,,,,,,,,,2026-07-31,"Departamento en Vuelta de Obligado al 2000, Belgrano, pleno barrio porteño. Son 104 m² cubiertos, 4 ambientes: 3 dormitorios y 2 baños, en piso 10 con ascensor. Es una unidad interna, lo que garantiza silencio y buena luminosidad durante todo el día. A pesar de sus 45 años de antigüedad, se encuentra en muy buen estado, con terminaciones cuidadas y lista para habitar. Sin cochera ni amenities, pero con todos los servicios y la vida de barrio a la vuelta. Ideal para quienes buscan un piso amplio, bien ubicado y con la tranquilidad de un edificio consolidado.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00175,https://demo-a.example/aviso/demo-00175,https://demo-a.example/aviso/demo-00175,Departamento 3 ambientes en Belgrano,327000,USD,265000,ARS,"Montañeses 1262, Piso 6","Belgrano, Capital Federal",Mirador Propiedades,76.7,,76.7,3,2,1,,0,A Estrenar,Contrafrente,6,"pileta, sum",2026-06-19,"Departamento a estrenar en el corazón de Belgrano, sobre Montañeses al 1200, en una zona que combina tranquilidad residencial con cercanía a todos los servicios. Se trata de una unidad al contrafrente, lo que garantiza un ambiente silencioso y luminoso, ideal para quienes buscan descansar sin renunciar a la comodidad. Está en el piso 6 con ascensor, y cuenta con 77 m² cubiertos distribuidos en 3 ambientes: dos dormitorios amplios y un baño completo, con una distribución pensada para aprovechar cada metro.

El edificio ofrece amenities que elevan la calidad de vida: pileta y SUM, perfectos para disfrutar en cualquier época del año. La entrega está estimada para el último trimestre del año, y las fotos que ves corresponden al modelo de exhibición, ya que el emprendimiento se encuentra en plena construcción. Es una oportunidad única para comprar en una de las zonas más codiciadas de la ciudad, con todos los beneficios de un desarrollo moderno y funcional. Consultá por nuestra financiación especial y asegurate una excelente inversión a estrenar.",true,"{""sintetico"": true, ""caso"": ""pozo"", ""duplicado_de"": null}"
demo-a,demo-00176,https://demo-a.example/aviso/demo-00176,https://demo-a.example/aviso/demo-00176,Departamento 2 ambientes en Palermo,195000,USD,,,Soler 4776,"Palermo, Capital Federal",Estudio Lacroze,48.7,,48.7,2,1,1,,0,A Estrenar,Contrafrente,2,"seguridad 24 h, solarium, laundry, parrilla, sum",2026-07-05,"Departamento a estrenar en Palermo, sobre la tranquila calle Soler al 4700. Está ubicado en el piso 2, al contrafrente, lo que garantiza una vista abierta y mucho silencio, ideal para quienes buscan descansar sin ruido de la calle. Es un dos ambientes con un dormitorio y un baño completo, con 49 m² cubiertos muy bien aprovechados. Sin ascensor, pero el segundo piso se sube con ganas y la rentabilidad del espacio lo compensa. El edificio cuenta con seguridad las 24 horas, solarium con parrilla, laundry y salón de usos múltiples para reuniones o eventos. Todo recién terminado, listo para mudarse sin esperas. Una oportunidad para vivir en una de las mejores zonas de la ciudad con todos los servicios a mano.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00177,https://demo-b.example/aviso/demo-00177,https://demo-b.example/aviso/demo-00177,Departamento 3 ambientes en Palermo,234000,USD,181000,ARS,Bonpland 5585,"Palermo, Capital Federal",Norte Propiedades,72.0,,72.0,,,,,,,,,"pileta, seguridad 24 h, parrilla, gimnasio, solarium",2026-07-16,"Departamento de 3 ambientes en pleno corazón de Palermo, sobre la calle Bonpland al 5500. Una opción ideal para quienes buscan comodidad y vida de barrio sin resignar cercanía a los mejores bares y plazas del circuito. Con 72 m² cubiertos, la unidad se encuentra en excelente estado, lista para mudarse y empezar a disfrutar. El living comedor es amplio y se integra de manera fluida con la cocina, que está bien aprovechada y separada para mayor practicidad.

Los dos dormitorios son luminosos y silenciosos, con buena capacidad para camas y placares. El baño es completo y funcional. El edificio ofrece amenities que suman calidad de vida: pileta para los días de calor, parrilla para reuniones con amigos, gimnasio equipado y un solarium perfecto para relajarse, todo con seguridad 24 horas. Sin dudas, una gran oportunidad para invertir o vivir en una de las zonas más buscadas de la ciudad. Los interesados pueden coordinar una visita sin compromiso.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00178,https://demo-a.example/aviso/demo-00178,https://demo-a.example/aviso/demo-00178,Departamento 2 ambientes en Palermo,177000,USD,331000,ARS,"Paraguay 481, Piso 6","Palermo, Capital Federal",Belgrano Brokers,45.8,,45.8,2,1,1,5,0,Bueno,Frente,6,,2026-08-22,"Departamento de 2 ambientes en Palermo, sobre Paraguay al 400. Está al frente, con buena luz natural y en un edificio de 5 años de antigüedad, sin ascensor. Cuenta con un dormitorio y un baño completo, todo en buen estado general y listo para habitar. La superficie cubierta es de 46 m², bien distribuidos entre el living-comedor, la cocina separada y el dormitorio. Es una unidad práctica, ideal para quienes buscan vivir en una de las zonas más conectadas de la Ciudad, cerca de bares, restaurantes y transporte público. Sin cochera ni amenities, pero con todo lo necesario para el día a día. Una oportunidad para invertir o estrenar en un barrio con gran demanda.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00179,https://demo-b.example/aviso/demo-00179,https://demo-b.example/aviso/demo-00179,Departamento 2 ambientes en Palermo,180000,USD,331000,ARS,"Paraguay 400, Piso 6","Palermo, Capital Federal",Estudio Lacroze,44.3,,44.3,2,1,1,5,0,Bueno,Frente,6,,2026-08-29,"Departamento de 2 ambientes en Paraguay al 400, Palermo, CABA. Al frente, piso 6, con 44 m² cubiertos, 1 dormitorio, 1 baño y cocina separada. El inmueble tiene 5 años de antigüedad y se encuentra en buen estado general, listo para habitar. Es un piso luminoso, con buena distribución, ideal para quienes buscan un primer hogar o una inversión segura en una de las zonas más conectadas del barrio. Sin cochera ni amenities, pero con todos los servicios cerca. Aceptamos consultas.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": ""demo-00178""}"
demo-b,demo-00180,https://demo-b.example/aviso/demo-00180,https://demo-b.example/aviso/demo-00180,Departamento 4 ambientes en Palermo,401000,USD,429000,ARS,"Bulnes 1168, Piso 5","Palermo, Capital Federal",Inmobiliaria del Parque,130.9,8,138.9,4,3,1,,0,Bueno,Contrafrente,5,,2026-08-19,"Departamento de 4 ambientes en pleno Palermo, sobre Bulnes al 1100, una ubicación privilegiada para los que buscan moverse por la ciudad sin depender del auto. Son 131 m² cubiertos con una distribución bien pensada y una terraza balcón de 8 m² que suma ese espacio extra para desayunar al sol o leer un libro al caer la tarde. El edificio es con ascensor, un detalle que se agradece todos los días, y el departamento está en buen estado general, listo para habitar pero con margen para ir dejándole tu sello personal.

Al contrafrente, la cosa cambia por completo: se duerme en una tranquilidad que en esta zona es un lujo difícil de conseguir. Tiene 3 dormitorios, ideales para una familia o para armar un home office, y un baño completo. Si bien no tiene cochera, la oferta de transporte y cercanía a los polos gastronómicos y comerciales de Palermo Soho y Plaza Serrano hacen que no la extrañes. Sin amenities ni expensas de edificio con pileta, acá se paga el metro cuadrado y la ubicación. Ideal para el que valora el verde, el silencio y la conectividad sin pagar el molde de los edificios modernos.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00181,https://demo-b.example/aviso/demo-00181,https://demo-b.example/aviso/demo-00181,Departamento 3 ambientes en Palermo,310000,USD,,,Salguero 5263,"Palermo, Capital Federal",Inmobiliaria del Parque,97.8,,97.8,3,2,1,,0,Muy Bueno,Interno,9,"solarium, sum",2026-06-14,"Salguero al 5200, Palermo. Departamento de tres ambientes, dos dormitorios y un baño, en muy buen estado. Con 98 metros cuadrados cubiertos bien aprovechados, esta unidad interna ofrece privacidad y silencio sin resignar comodidad. El edificio cuenta con ascensor, y los amenities incluyen solarium y salón de usos múltiples. Ideal para quienes buscan un hogar funcional en una de las zonas mejor conectadas de la ciudad.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00182,https://demo-b.example/aviso/demo-00182,https://demo-b.example/aviso/demo-00182,Departamento 2 ambientes en Palermo,164000,USD,,,Cabello 871,"Palermo, Capital Federal",Grupo Arcos,38.0,12,50.0,,,,,,,,,gimnasio,2026-08-06,"Departamento de dos ambientes en el corazón de Palermo, sobre la calle Cabello al 800, en una zona que combina la tranquilidad residencial con la mejor oferta gastronómica y de bares del barrio. Se trata de una propiedad ideal para quienes buscan comodidad y funcionalidad en un metro cuadrado bien aprovechado. El living comedor se integra a la perfección con el balcón terraza de 12 metros, que invita a desayunar al aire libre o a relajarse al final de la jornada. El dormitorio es amplio y luminoso, y el baño se encuentra en muy buen estado, al igual que el resto de la unidad.

La cocina, independiente y equipada, suma practicidad para el día a día. Entre los diferenciales del edificio, se destaca un gimnasio equipado para mantener la rutina sin moverte de tu casa. Con 38 metros cubiertos, la distribución es inteligente y sin espacios perdidos. Una oportunidad perfecta para invertir o estrenar como primera vivienda, en una de las zonas más buscadas de la Ciudad. No se cobra expensas extraordinarias. Ideal para una pareja joven o para quienes prefieren mudarse a un lugar bien conectado.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00183,https://demo-a.example/aviso/demo-00183,https://demo-a.example/aviso/demo-00183,Departamento 3 ambientes en Palermo,274000,USD,462000,ARS,Juncal 2107,"Palermo, Capital Federal",Mirador Propiedades,66.3,5,71.3,3,2,1,0,0,A Estrenar,,6,"laundry, parrilla, seguridad 24 h",2026-06-10,"Departamento de 3 ambientes en Palermo, sobre Juncal al 2100, con ascensor y a estrenar. Son 66 m² cubiertos más 5 m² de balcón terraza, dos dormitorios, un baño completo y un living comedor amplio con integración a la cocina. El edificio cuenta con laundry, parrilla y seguridad 24 horas. Sin cochera. Las imágenes corresponden al modelo del emprendimiento, que se encuentra en construcción; la entrega estimada está prevista para los próximos meses. Una oportunidad única para mudarse a un barrio con excelente conectividad y todos los servicios a la vuelta de la esquina.",true,"{""sintetico"": true, ""caso"": ""pozo"", ""duplicado_de"": null}"
demo-b,demo-00184,https://demo-b.example/aviso/demo-00184,https://demo-b.example/aviso/demo-00184,Departamento 4 ambientes en Palermo,472000,USD,543000,ARS,Charcas 3260,"Palermo, Capital Federal",Norte Propiedades,113.2,12,125.2,,,,,,,,,laundry,2026-08-09,"Departamento de 4 ambientes en pleno Palermo, sobre la calle Charcas al 3200. Son 113 m² cubiertos más 12 m² de balcón terraza, con tres dormitorios y un baño completo. El edificio cuenta con ascensor y servicio de laundry, ideal para quienes buscan comodidad y practicidad en una de las zonas más buscadas de la Ciudad. Una excelente oportunidad para vivir cerca de todo.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00185,https://demo-a.example/aviso/demo-00185,https://demo-a.example/aviso/demo-00185,Departamento 1 ambientes en Palermo,154000,USD,,,Malabia 2605,"Palermo, Capital Federal",Sur & Asociados,31.8,4.0,35.8,,,,,,,,,,2026-08-30,"Departamento a estrenar en Palermo, sobre Malabia al 2600. Un ambiente con baño completo, 32 m² cubiertos más 4 m² de balcón terraza, en piso 12. Ideal para quienes buscan un primer hogar o una inversión en una de las zonas más buscadas de la ciudad. Sin cochera ni amenities, pero con todo lo necesario para disfrutar la ubicación y la luminosidad de un piso alto.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00186,https://demo-a.example/aviso/demo-00186,https://demo-a.example/aviso/demo-00186,Departamento 3 ambientes en Palermo,307000,USD,280000,ARS,Darregueyra 2126,"Palermo, Capital Federal",Inmobiliaria del Parque,80.7,8,88.7,,,,,,,,,"laundry, seguridad 24 h, gimnasio, sum, pileta",2026-05-29,"Departamento de 3 ambientes en pleno Palermo, sobre la avenida Darregueyra al 2100, a estrenar para estrenar. En el piso 1 y con ascensor, este inmueble de 81 m2 cubiertos más 8 m2 de balcón/terraza ofrece una distribución muy bien pensada: dos dormitorios, un baño completo y un living comedor amplio y luminoso. El edificio cuenta con amenities de primera: gimnasio, pileta, sum y laundry, además de seguridad 24 horas. Sin dudas, una oportunidad única para quienes buscan comodidad y vida de barrio, con todos los servicios a metros y la cercanía a los polos gastronómicos y comerciales más lindos de la ciudad.

El departamento está en buen estado general, listo para mudarse, y se destaca por su excelente relación entre espacios y funcionalidad. El balcón/terraza suma un plus para disfrutar al aire libre sin salir de casa. La propiedad no tiene cochera, pero en la zona hay opciones de alquiler mensual. Se acepta permuta por otra unidad o financiación en cuotas, por lo que es una gran oportunidad tanto para inversores como para quienes buscan su primer hogar. Consultá por visitas y coordina tu recorrida; te esperamos para mostrarte todo lo que este lugar tiene para ofrecerte.",false,"{""sintetico"": true, ""caso"": ""permuta"", ""duplicado_de"": null}"
